,pid,name,collaborative,modified_at,num_tracks,num_albums,num_followers,num_edits,duration_ms,num_artists,description
0,0,Happy,false,1479945600,46,42,1,16,10467071,40,
1,1,Crowd Pleasers,false,1485561600,62,52,1,7,14558428,38,
2,2,2016,false,1469059200,36,33,2,16,10609887,30,
3,3,Halloween,false,1509408000,45,32,1,3,11938641,28,
4,4,random stuff! ,false,1487548800,48,44,2,12,11019277,40,
5,5,the classics,false,1463961600,65,58,1,6,16294138,33,
6,6,Julia,false,1480464000,28,27,2,8,7107605,19,
7,7,the playlist,false,1508803200,169,150,2,131,39975212,119,this playlist contains pretty much all my favorite songs and new songs I like.
8,8,heavy metal,false,1505952000,243,207,5,74,69057762,143,
9,9,country,false,1506124800,66,56,2,26,14565046,41,
10,10,Brain food,false,1505520000,9,9,1,7,2595387,8,
11,11,THE GOOD,false,1471737600,29,29,1,3,7104985,29,
12,12,Time Travel,false,1489190400,65,64,1,9,14763672,60,
13,13,Various Artists – The Hunger Games: Catching Fire,false,1384819200,15,6,1,2,3548552,15,
14,14,☀️,false,1508976000,57,35,1,15,12475188,26,
15,15,chill,false,1482624000,113,79,5,11,26259957,71,
16,16,The Goods,false,1503446400,145,132,5,22,38696332,97,
17,17,chill,false,1509408000,51,39,1,18,12282910,27,
18,18,EDM,false,1476144000,104,84,1,19,32359105,43,
19,19,2014 favorites,false,1418256000,36,31,3,17,10200310,31,
20,20,xMas playlist,false,1450828800,47,40,2,7,7579326,28,
21,21,Workout Playlist,false,1498003200,58,54,1,10,13566424,49,
22,22,trap,false,1508457600,34,21,1,8,6163010,16,
23,23,Let's Run,false,1371772800,5,5,1,3,1246024,5,
24,24,summer15,false,1442275200,188,38,1,20,41961696,21,
25,25,trap,false,1479254400,6,5,1,3,1346506,4,
26,26,**Beast Mode**,false,1495411200,121,113,3,14,29619934,86,
27,27,Interlude,false,1365379200,10,8,1,3,3417382,8,
28,28,Wedding Dance!,false,1474502400,43,41,1,2,9433519,38,
29,29,RnB,false,1479686400,29,27,1,17,7358190,24,
30,30,Amy,false,1483660800,82,75,1,65,17520830,61,
31,31,Travel,false,1465430400,70,70,1,2,16473489,60,
32,32,Joey,false,1383955200,9,9,1,2,2249464,9,
33,33,Best of the Best,false,1501372800,119,84,2,45,27138502,56,
34,34,Osheaga,false,1466294400,24,19,1,2,5787969,9,
35,35,Funk ,false,1505088000,99,83,1,18,24061862,59,
36,36,Grunge,false,1507507200,110,21,1,2,31667848,4,"My Rock&#x2F;Industrial Playlist is getting huge! Time to break it up. Grunge is here - includes Alice in Chains, Sound Garden, Pearl Jam. I&#x27;m throwing Alice In Chains new stuff in here too, just to keep it all together."
37,37,Mix,false,1505520000,208,194,3,83,46808644,169,
38,38,The Lumineers - The Lumineers,false,1393027200,60,18,1,5,13876018,5,
39,39,workout ,false,1504656000,41,38,1,15,8993755,32,
40,40,my jam,false,1493078400,64,44,1,13,15777481,27,
41,41,Party Country,false,1492128000,60,38,1,4,12297606,23,
42,42,dance,false,1504310400,119,95,1,21,29881092,67,
43,43,December 2016,false,1482796800,19,15,1,17,4690572,12,
44,44,Best Playlist,false,1466985600,20,18,1,6,4453695,18,
45,45,Latino,false,1507852800,43,39,1,26,9720178,25,
46,46,Best Day Ever,false,1483228800,45,44,1,2,9485419,44,
47,47,Workout,false,1459728000,51,33,1,2,11368608,26,
48,48,Throwback R&B,false,1433980800,26,23,1,2,6877021,18,
49,49,My music,false,1432944000,25,15,1,7,6292703,13,
50,50,Country,false,1461715200,98,62,1,6,20471847,40,
51,51,Instrumental ,false,1508976000,103,74,2,45,21568071,52,
52,52,Smooth Jazz,false,1507161600,117,99,1,15,33747341,79,
53,53,Ugh,false,1506384000,26,25,1,4,5540297,20,
54,54,Test,false,1507593600,14,11,1,4,3618915,10,
55,55,This Is Halloween,false,1508630400,61,47,1,7,12410811,42,
56,56,Albums :),false,1498953600,233,74,1,3,60394923,21,
57,57,emo ,false,1498003200,7,7,1,3,1101589,4,
58,58,Sophomore,false,1506729600,74,44,1,37,18015508,25,
59,59,Idk,false,1494460800,111,101,1,53,24600636,84,
60,60,Bob,false,1374796800,54,47,1,16,12632412,23,
61,61,90,false,1476921600,17,17,1,3,4350700,17,
62,62,Chillin,false,1500249600,26,26,1,10,6434093,25,
63,63,driving tunes,false,1508025600,13,12,3,6,2881399,12,
64,64,groovy tunes,false,1459728000,71,64,1,3,16357524,53,
65,65,Snowboard,false,1461283200,151,133,1,32,34694860,98,
66,66,strong. ,false,1500595200,7,7,1,7,1625114,6,
67,67,Mood,false,1490659200,16,16,2,7,4187848,16,
68,68,Oldies but Goodies,false,1469750400,12,10,2,5,1857966,10,
69,69,fall out boy,false,1483574400,13,7,1,5,2757646,3,
70,70,summer 16,false,1487289600,59,41,1,25,13733055,35,
71,71,Lit 🔥🔥,false,1473811200,21,14,1,6,4459146,14,
72,72,Chill Vibes,false,1508025600,31,29,1,17,7303580,27,
73,73,summer 2016,false,1470960000,28,28,1,13,6057318,27,
74,74,dawn,false,1508457600,108,24,1,19,23476338,21,
75,75,Spanish,false,1503619200,18,17,1,6,3999050,12,
76,76,Summer Jam,false,1466121600,36,20,3,2,7872561,10,
77,77,THROW BACK,false,1470355200,43,12,1,2,8481598,6,
78,78,shower,false,1497052800,54,45,1,17,12206967,38,
79,79,throwback,false,1480032000,43,24,1,5,8976576,15,
80,80,Post Rock,false,1509235200,64,60,1,33,29808802,46,
81,81,reception,false,1436400000,20,20,1,2,4769853,19,
82,82,edm,false,1477267200,67,56,5,41,18266578,41,
83,83,Latin Mix,false,1423612800,84,70,1,35,19154993,55,
84,84,Play This At My Funeral,false,1414800000,7,7,1,6,1849437,7,
85,85,fall vibes,false,1507766400,72,55,1,5,18605109,44,
86,86,fun,false,1509148800,10,10,1,5,2447186,9,
87,87,TECH-HOUSE,false,1484784000,167,151,8,84,82852172,140,
88,88,Pumped Up,false,1497916800,10,10,1,10,2249097,10,
89,89,jams,false,1471824000,22,19,1,17,5431695,16,
90,90,Chinese,false,1507334400,115,57,1,6,30487901,29,
91,91,Spring 2016,false,1460160000,15,15,1,6,3448010,14,
92,92,old,false,1509148800,181,140,2,105,40466208,100,
93,93,October,false,1509062400,21,19,1,4,4049606,18,
94,94,Just Chillin,false,1500076800,109,90,2,34,29649259,66,
95,95,Eclipse,true,1503187200,83,80,2,4,19869729,74,
96,96,music,false,1509321600,26,17,3,15,9045824,7,
97,97,<3,false,1478822400,23,13,1,4,4743768,7,
98,98,Kids,false,1505865600,44,30,1,9,8626572,25,
99,99,New:),false,1404000000,44,40,1,6,10028771,37,
100,100,Sing Out Loud,false,1488240000,25,25,1,12,5823378,22,
101,101,country,false,1479254400,44,32,1,3,9716295,26,
102,102,Classical,false,1508284800,134,106,1,8,45875884,31,
103,103,17,false,1509235200,147,128,1,58,34438743,110,
104,104,French Pop,false,1493078400,35,16,1,6,7597604,11,
105,105,chill out,false,1446508800,82,76,1,18,28152722,72,
