Name,AlbumArt,Artist(s)
Last Day of Disco,https://i.scdn.co/image/ab67616d0000b273b7ea7e57bcb3f17e21e9f462,Various Artists
"Drop It - 7"" Radio Edit",https://i.scdn.co/image/ab67616d0000b273c31136f593b7c31fb8df64d1,Scoop
Midnight Sun,https://i.scdn.co/image/ab67616d0000b273a00a486931aa5852d0092693,Kate Boy
"Puppet Theatre (feat. Peter, Bjorn and John)",https://i.scdn.co/image/ab67616d0000b273d2b1fc57bdccac3472388488,Claptone
Raven,https://i.scdn.co/image/ab67616d0000b273cab950554b141f75c55f69c5,John Dahlbäck
My Love,https://i.scdn.co/image/ab67616d0000b2736b213348c2d5d250a77c0581,Route 94
Illmerica,https://i.scdn.co/image/ab67616d0000b2735899fbb880d55c1c84f7abf8,Wolfgang Gartner
Till It Hurts,https://i.scdn.co/image/ab67616d0000b2735b74659e5211e628cc3e7714,Yellow Claw
Wanna Do (feat. Emil),https://i.scdn.co/image/ab67616d0000b273f6b106069cbee2a1acc4dd96,Joe Weller
Uncea,https://i.scdn.co/image/ab67616d0000b27369ccc7628661ef0354e3a374,FaltyDL
Goodbye (feat. Lyse) - Radio Edit,https://i.scdn.co/image/ab67616d0000b273944f09035ef3ddf623261ad1,Feder
Show Me Love - EDX Remix / Radio Edit,https://i.scdn.co/image/ab67616d0000b273c078542bc49206109e6e730b,Sam Feldt
Attak,https://i.scdn.co/image/ab67616d0000b27393230bfbfb598afbf4986e01,Rustie
In The Dark - Odd Mob Remix,https://i.scdn.co/image/ab67616d0000b273e25eb24ca7caf94c3ed38553,Various Artists
Touch,https://i.scdn.co/image/ab67616d0000b273f40e25277f538ee7f7ebc8f4,Shift K3Y
"Music Sounds Better With You - 12"" Club Mix",https://i.scdn.co/image/ab67616d0000b2731e71a9904a675b2460d9c6cb,Various Artists
"Devil (feat. Busta Rhymes, B.o.B & Neon Hitch)",https://i.scdn.co/image/ab67616d0000b2738ba0582cb581f3c94ba42055,Cash Cash
Chasing Ghosts - Radio Edit,https://i.scdn.co/image/ab67616d0000b2738c16f1040c5c358c906649b5,Alex Preston
Elouisa,https://i.scdn.co/image/ab67616d0000b2733f5cba194051766aea763a51,The Swiss
Can't Stop Playing (Makes Me High) - Oliver Heldens & Gregor Salto Vocal Mix Edit,https://i.scdn.co/image/ab67616d0000b27301003577e78b825c361d304c,DR. KUCHO!
